"time","x","y","z"
15.77,9.87371313686186,6.83329605751406,30.0508287348565
15.78,9.65590723244148,6.48055223703261,29.8027954896396
15.79,9.43017607367817,6.16322144849198,29.516026588921
15.8,9.19952149802403,5.88325332662953,29.1961002863607
15.81,8.96684343410939,5.64171284034884,28.8485423565734
15.82,8.73489040576387,5.43888365601322,28.4786941157198
15.83,8.50622093328942,5.27438639027529,28.0916130538202
15.84,8.28317578785184,5.14730277922921,27.6920049215817
15.85,8.06786049995693,5.05629827601746,27.2841842894423
15.86,7.86213711531897,4.99973730574199,26.8720594513946
15.87,7.66762392882022,4.97578713351696,26.4591370114276
15.88,7.48570179478346,4.98250787954531,26.0485414486831
15.89,7.31752558693241,5.01792754765965,25.643045272722
15.9,7.16403943860866,5.08010197862516,25.2451059206093
15.91,7.02599450783089,5.16716039587498,24.8569061989762
15.92,6.90396816007598,5.2773377060628,24.4803957479873
15.93,6.79838362560778,5.40899499195055,24.1173316376847
15.94,6.70952935349305,5.56062973835765,23.7693167617499
15.95,6.63757744102226,5.73087730971927,23.4378351499607
15.96,6.58260065865925,5.91850509166461,23.1242836735358
15.97,6.54458771344982,6.12240055340816,22.8299998718216
15.98,6.5234564969055,6.34155430984206,22.5562857947862
15.99,6.51906514730946,6.57503908254921,22.3044278466456
16,6.53122082288089,6.82198529248001,22.0757126454715
16.01,6.55968613373834,7.08155387439603,21.8714388950427
16.02,6.60418322001879,7.35290679193074,21.6929252106292
16.03,6.6643954939732,7.63517565773359,21.5415137607272
16.04,6.7399670886185,7.92742882985689,21.4185694919492
16.05,6.8305000778638,8.22863736675946,21.3254746038276
16.06,6.93554955622184,8.53764028192908,21.263617843885
16.07,7.0546166934929,8.85310964741393,21.2343781115251
16.08,7.18713991429812,9.17351625466853,21.2391018041504
16.09,7.3324843969797,9.49709675037446,21.2790733245064
16.1,7.48993014377605,9.82182342060804,21.3554782109537
16.11,7.65865894634973,10.1453780907434,21.4693584707022
16.12,7.83774065883461,10.4651319264193,21.6215599099677
16.13,8.02611929439894,10.7781332402819,21.8126715843682
16.14,8.22259957888062,11.0811056977244,22.042957954886
16.15,8.42583472190633,11.3704595291694,22.3122849402592
16.16,8.63431629461473,11.642318442245,22.6200418053528
16.17,8.846367222721,11.8925648210102,22.965061699463
16.18,9.06013899949953,12.1169054331027,23.3455446178463
16.19,9.27361427708146,12.3109591744979,23.7589875344089
16.2,9.48461598531086,12.4703673155813,24.202127341701
16.21,9.69082403329267,12.5909252513476,24.6709029033038
16.22,9.88980044934104,12.6687329292475,25.1604428170735
16.23,10.079023495165,12.7003590194771,25.6650852415619
16.24,10.2559308441834,12.6830116665354,26.1784352055411
16.25,10.4179713501229,12.6147065537557,26.6934631047489
16.26,10.5626642763722,12.494421319836,27.2026455787517
16.27,10.6876641541801,12.3222244108607,27.6981467591305
16.28,10.7908287522514,12.0993665326915,28.1720342282167
16.29,10.8702870485743,11.8283242022095,28.6165202962828
16.3,10.9245036790673,11.512787550469,29.0242158619367
16.31,10.9523361712023,11.1575883818627,29.3883816652007
16.32,10.95308140787,10.76856920725,29.7031606207487
16.33,10.9265082284332,10.3523990293968,29.9637754287658
16.34,10.8728738405067,9.91634643769963,30.1666778791168
16.35,10.7929227258136,9.46802442972521,30.3096400067384
16.36,10.6878678790016,9.01512379145795,30.3917820919879
16.37,10.5593553996351,8.56515251692046,30.4135378199774
16.38,10.4094145402911,8.12519758033639,30.3765620371751
16.39,10.2403961878254,7.70172261253735,30.2835908418013
16.4,10.0549033409445,7.30041112168581,30.1382667451004
16.41,9.85571740610927,6.92606040944587,29.9449430992918
16.42,9.64572406903992,6.58252686018675,29.7084819063973
16.43,9.42784215183567,6.27271933539905,29.4340577161314
16.44,9.20495830412702,5.99863435089197,29.1269779538816
16.45,8.97986968270441,5.76142473245122,28.7925271195251
16.46,8.75523603037978,5.56149254522719,28.4358392790423
16.47,8.53354184415259,5.39859714471087,28.0618004757989
16.48,8.31706868092542,5.27196998756511,27.6749803539479
16.49,8.10787712210918,5.18042911874225,27.2795905371225
